Paragraph,Tasks
Bases: nltk.parse.earleychart.CompleteFundamentalRule,
iter(EdgeI),
A demonstration of the Earley parsers.,
Bases: object,
Return the Labeled Attachment Score (LAS) and Unlabeled Attachment Score (UAS),"Return labeled attachment score
Return unlabeled attachment score"
":return : tuple(float,float)",
Bases: nltk.parse.featurechart.FeatureChartParser,
Bases: nltk.parse.featurechart.FeatureChartParser,
Bases: nltk.parse.chart.BottomUpPredictCombineRule,
iter(EdgeI),
Bases: nltk.parse.chart.BottomUpPredictRule,
iter(EdgeI),
Bases: nltk.parse.chart.Chart,
A Chart for feature grammars. :see: Chart for more information.,
"Return an iterator of the complete tree structures that span the entire chart, and whose root node is root.",Return iterator of tree structure
Bases: nltk.parse.chart.ChartParser,
Bases: nltk.parse.chart.EmptyPredictRule,
iter(EdgeI),
Bases: nltk.parse.chart.FundamentalRule,
"A specialized version of the fundamental rule that operates on nonterminals whose symbols are FeatStructNonterminal``s.  Rather tha simply comparing the nonterminals for equality, they are unified.  Variable bindings from these unifications are collected and stored in the chart using a ``FeatureTreeEdge. When a complete edge is generated, these bindings are applied to all nonterminals in the edge.",
The fundamental rule states that:,
[A -> alpha \* B1 beta][i:j],
[B2 -> gamma \*][j:k],
licenses the edge:,
[A -> alpha B3 \* beta][i:j],
iter(EdgeI),
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,
Bases: nltk.parse.featurechart.FeatureChartParser,
Bases: nltk.parse.chart.TopDownInitRule,
iter(EdgeI),
Bases: nltk.parse.chart.CachedTopDownPredictRule,
[A -> alpha \* B1 beta][i:j],
licenses the edge:,
[B2 -> \* gamma][j:j],
"for each grammar production B2 -> gamma, assuming that B1 and B2 can be unified.",
iter(EdgeI),
Bases: nltk.parse.chart.TreeEdge,
Return a copy of this edge’s bindings dictionary.,Return edge bindings
"A new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.",
TreeEdge,
FeatureTreeEdge,
new_end (int) – The new end index.,
bindings (dict) – Bindings for the new edge.,
set(Variable),
Bases: nltk.parse.featurechart.FeatureChart,
Clear the chart.,
edge (EdgeI) – The new edge,
bool,
"Note that instantiation is done in-place, since the parsing algorithms might already hold a reference to the edge for future use.",
Generates an iterator of all sentences from a CFG.,
depth – The maximal depth of the generated tree.,
n – The maximum number of sentences to return.,
An iterator of lists of terminal tokens.,
Bases: nltk.parse.api.ParserI,
inputfilename (str) – path to the input file,
outputfilename (str) – path to the output file,
sentences – Input sentences to parse,
iter(DependencyGraph),
sentences – Input sentences to parse,
iter(iter(DependencyGraph)) the dependency graph,
representation of each sentence,
Train MaltParser from a list of DependencyGraph objects,Train MaltParser
depgraphs (DependencyGraph) – list of DependencyGraph objects for training input data,
Train MaltParser from a file :param conll_file: str for the filename of the training input data :type conll_file: str,Train MaltParser
Bases: nltk.parse.nonprojectivedependencyparser.DependencyScorerI,
graph (DependencyGraph) – A dependency graph whose set of edges need to be,
"For further illustration, a score list corresponding to Fig.2 of Keith Hall’s ‘K-best Spanning Tree Parsing’ paper:",
"[[], [], [11], [4]], [[], [10], [], [5]], [[], [8], [8], []]]",
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,
Bases: object,
graph (DependencyGraph) – A dependency graph whose set of edges need to be,
"For further illustration, a score list corresponding to Fig.2 of Keith Hall’s ‘K-best Spanning Tree Parsing’ paper:",
"[[], [], [11], [4]], [[], [10], [], [5]], [[], [8], [8], []]]",
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,
Bases: nltk.parse.nonprojectivedependencyparser.DependencyScorerI,
graph (DependencyGraph) – A dependency graph to score.,
3 dimensional list,
Edge scores for the graph parameter.,
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,
Bases: object,
param tokens: A list of tokens to parse. type tokens: list(str) return: An iterator of non-projective parses. rtype: iter(DependencyGraph),
Bases: object,
A probabilistic non-projective dependency parser.,
"node_index (integer.) – The address of the ‘destination’ node,",
the node that is arced to.,
new_node (Node.) – A Node (Dictionary) to collapse the cycle nodes into.,
"cycle_path (A list of integers.) – A list of node addresses, each of which is in the cycle.",
"b_graph, c_graph (g_graph,) – Graphs which need to be updated.",
column_index (integer.) – A index representing the column of incoming arcs,
to a particular node being updated :type cycle_indexes: A list of integers. :param cycle_indexes: Only arcs from cycle nodes are considered. This is a list of such nodes addresses.,
new_indexes (A list of integers.) – A list of node addresses to check for,
subsumed nodes.,
tokens (list(str)) – A list of words or punctuation to be parsed.,
tags (list(str)) – A list of tags corresponding by index to the words in the tokens list.,
An iterator of non-projective parses.,
iter(DependencyGraph),
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,
Updates the edge scores to reflect a collapse operation into new_node.,
new_node (A Node.) – The node which cycle nodes are collapsed into.,
cycle_path (A list of integers.) – A list of node addresses that belong to the cycle.,
"The BottomUpProbabilisticChartParser constructor has an optional argument beam_size. If non-zero, this controls the size of the beam (aka the edge queue). This option is most useful with InsideChartParser.",
Bases: nltk.parse.api.ParserI,
_grammar – The grammar used to parse sentences.,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
None,
None,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,
This sorting order results in a type of lowest-cost-first search strategy.,
None,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,
A bottom-up parser for PCFG grammars that tries longer edges before shorter ones. This sorting order results in a type of best-first search strategy.,
None,
Bases: nltk.parse.chart.AbstractChartRule,
iter(EdgeI),
Bases: nltk.parse.chart.AbstractChartRule,
iter(EdgeI),
Bases: nltk.parse.chart.AbstractChartRule,
iter(EdgeI),
Bases: nltk.parse.chart.LeafEdge,
Bases: nltk.parse.chart.TreeEdge,
"Return a new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.",Return TreeEdge
TreeEdge,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,
A bottom-up parser for PCFG grammars that tries edges in random order. This sorting order results in a random search strategy.,
None,
Bases: nltk.parse.chart.AbstractChartRule,
iter(EdgeI),
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,
A bottom-up parser for PCFG grammars that tries edges in whatever order.,
None,
Bases: object,
span (DependencySpan) – The span to add.,
Bases: object,
"A contiguous span over some part of the input string representing dependency (head -> modifier) relationships amongst words. An atomic span corresponds to only one word so it isn’t a ‘span’ in the conventional sense, as its _start_index = _end_index = _head_index for concatenation purposes. All other spans are assumed to have arcs between all nodes within the start and end indexes of the span, and one head index corresponding to the head word for the entire span. This is the same as the root node if the dependency structure were depicted as a graph.",
An value indexing the head of the entire DependencySpan.,
int,
Bases: object,
"A probabilistic, projective dependency parser.",
dg (DependencyGraph) – A dependency graph to score.,
The probability of the dependency graph.,
int,
A list of new spans formed through concatenation.,
list(DependencySpan),
"Trains a ProbabilisticDependencyGrammar based on the list of input DependencyGraphs. This model is an implementation of Eisner’s (1996) Model C, which derives its statistics from head-word, head-tag, child-word, and child-tag relationships.",
graphs – A list of dependency graphs to train from.,
list(DependencyGraph),
Bases: object,
A list of new spans formed through concatenation.,
list(DependencySpan),
tokens (list(str)) – The list of input tokens.,
An iterator over parse trees.,
iter(Tree),
Bases: nltk.parse.api.ParserI,
nltk.grammar,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
None,
Bases: nltk.parse.recursivedescent.RecursiveDescentParser,
nltk.grammar,
true if an operation was successfully undone.,
bool,
Whether the parser’s current state represents a complete parse.,
bool,
Production or None,
A list of all the productions for which expansions are available for the current parser state.,
list(Production),
"A list of the tree locations of all subtrees that have not yet been expanded, and all leaves that have not yet been matched.",
list(tuple(int)),
"Match the first element of the frontier. In particular, if the first element of the frontier has the same type as the next text token, then substitute the text token into the tree.",
str or None,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
list of Tree,
The portion of the text that is not yet covered by the tree.,
list(str),
Change the grammar used to parse texts.,
grammar (CFG) – The new grammar.,
Production or String or bool,
Tree,
A list of all the untried productions for which expansions are available for the current parser state.,
list(Production),
Whether the first element of the frontier is a token that has not yet been matched.,
bool,
A demonstration of the recursive descent parser.,
Bases: nltk.parse.api.ParserI,
“reduce” uses a CFG production to combine the rightmost stack elements into a single Tree.,
Only shift if no reductions are available.,
nltk.grammar,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
None,
Bases: nltk.parse.shiftreduce.ShiftReduceParser,
nltk.grammar,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
iter(Tree),
Production or None,
A list of the productions for which reductions are available for the current parser state.,
list(Production),
The portion of the text that is not yet covered by the stack.,
list(str),
Change the grammar used to parse texts.,
grammar (CFG) – The new grammar.,
True if the shift operation was successful.,
bool,
The parser’s stack.,
list(str and Tree),
Production or bool,
true if an operation was successfully undone.,
bool,
A demonstration of the shift-reduce parser.,
Bases: nltk.parse.api.ParserI,
Interface to the Stanford Parser,
sentences (list(list(str))) – Input sentences to parse,
iter(iter(Tree)),
sentence (str) – Input sentence to parse,
iter(Tree),
sentences (list(str)) – Input sentences to parse,
iter(iter(Tree)),
"sentence (list(tuple(str, str))) – Input sentence to parse",
iter(Tree),
"sentences (list(list(tuple(str, str)))) – Input sentences to parse",
iter(iter(Tree)),
Bases: nltk.parse.stanford.GenericStanfordParser,
Bases: nltk.parse.stanford.GenericStanfordParser,
Bases: nltk.parse.stanford.GenericStanfordParser,
Bases: object,
Stack: for storing partially proceeded words,
Bases: object,
is the current configuration,
:return : A new configuration or -1 if the pre-condition is not satisfied,
is the current configuration,
:return : A new configuration or -1 if the pre-condition is not satisfied,
is the current configuration,
:return : A new configuration or -1 if the pre-condition is not satisfied,
is the current configuration,
:return : A new configuration or -1 if the pre-condition is not satisfied,
Bases: nltk.parse.api.ParserI,
"depgraphs (list(DependencyGraph)) – the list of test sentence, each sentence is represented as a dependency graph where the ‘head’ information is dummy",
modelfile (str) – the model file,
list (DependencyGraph) with the ‘head’ and ‘rel’ information,
###################### Check the Initial Feature ########################,
Do some transition checks for ARC-STANDARD,
"Middle Configuration and Features Check >>> print(conf) Stack : [0, 3, 5, 6] Buffer : [8, 9] Arcs : [(2, ‘ATT’, 1), (3, ‘SBJ’, 2), (5, ‘ATT’, 4), (8, ‘ATT’, 7)]",
"Terminated Configuration Check >>> print(conf) Stack : [0] Buffer : [] Arcs : [(2, ‘ATT’, 1), (3, ‘SBJ’, 2), (5, ‘ATT’, 4), (8, ‘ATT’, 7), (6, ‘PC’, 8), (5, ‘ATT’, 6), (3, ‘OBJ’, 5), (3, ‘PU’, 9), (0, ‘ROOT’, 3)]",
Do some transition checks for ARC-EAGER,
###################### Check The Training Function #######################,
###################### Check The Parsing Function ########################,
"B. Check the ARC-EAGER parser >>> result = parser_eager.parse([gold_sent], ‘temp.arceager.model’) >>> de = DependencyEvaluator(result, [gold_sent]) >>> de.eval() >= (0, 0) True",
Remove test temporary files >>> remove(‘temp.arceager.model’) >>> remove(‘temp.arcstd.model’),
Note that result is very poor because of only one training example.,
Utility functions for parsers.,
Bases: object,
grammatical (accept) and,
ungrammatical (reject).,
"If a sentence should parse accordng to the grammar, the value of trees will be a non-empty list. If a sentence should be rejected according to the grammar, then the value of trees will be None.",
Parses a string with one test sentence per line. Lines can optionally begin with:,
"a bool, saying if the sentence is grammatical or not, or",
"an int, giving the number of parse trees is should have,",
"a list of tuple of sentences and expected results, where a sentence is a list of str, and a result is None, or bool, or int",
comment_chars – str of possible comment characters.,
"encoding – the encoding of the string, if it is binary",
cfg' (CFGs: CFG),
pcfg' (probabilistic CFGs: PCFG),
fcfg' (feature-based CFGs: FeatureGrammar),
"grammar_url (str) – A URL specifying where the grammar is located. The default protocol is """"nltk:"""", which searches for the file in the the NLTK data package.",
"sentence (list(tuple(str, str))) – A single input sentence to parse",
iter(str),
a generator yielding a single sentence in CONLL format.,
sentences – Input sentences to parse,
iter(str),
a generator yielding sentences in CONLL format.,
Bases: nltk.parse.api.ParserI,
A pseudo-code description of the algorithm used by ViterbiParser is:,
_grammar – The grammar used to parse sentences.,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
None,
NLTK Parsers,
The text has multiple correct parses.,
There is not enough information to decide which of several candidate parses is correct.,
"However, the parser module does not distinguish these two types of ambiguity.",
"A specialized version of the fundamental rule that operates on nonterminals whose symbols are FeatStructNonterminal``s.  Rather tha simply comparing the nonterminals for equality, they are unified.  Variable bindings from these unifications are collected and stored in the chart using a ``FeatureTreeEdge. When a complete edge is generated, these bindings are applied to all nonterminals in the edge.","Compare nonterminals for equality
Store variable bindings from unifications
Apply bindings to nonterminals"
"grammar_url (str) – A URL specifying where the grammar is located. The default protocol is ""nltk:"", which searches for the file in the the NLTK data package.",
