Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,Updated program,,,,,
"However it still produces good results if the training data and testing data are separated on all punctuation eg: [,.?!]",,,,,,,,,,,"produce good results
separate training data on punctuation eg
separate testing data on punctuation eg","produce good results
separate training data on punctuation eg
separate testing data on punctuation eg",,,,,
"Input for training is expected to be a list of sentences where each sentence is a list of (word, tag) tuples",,,,,,,,,,,,,,,,,
Input for tag function is a single sentence Input for tagdata function is a list of sentences Output is of a similar form,,,,,,,,,,,,,,,,,
Function provided to process text that is unsegmented,,,,,,,,,,,process text,process text,,,,,
Please see basic_sent_chop(),,,,,,,,,,,,,,,,,
"TnT uses a second order Markov model to produce tags for a sequence of input, specifically:",,,,,Use a second order Markov model to product tags for a sequence of input,,Use a second order Markov model to product tags for a sequence of input,,,,produce tags for sequence,produce tags for sequence,,,,,
"argmax [Proj(P(t_i|t_i-1,t_i-2)P(w_i|t_i))] P(t_T+1 | t_T)",,,,,,,,,,,,,,,,,
IE: the maximum projection of a set of probabilities,,,,,,,,,,,,,,,,,
The set of possible tags for a given word is derived from the training data. It is the set of all tags that exact word has been assigned.,,,,,Dervice set of all possible tags for a given word,,Dervice set of all possible tags for a given word,,,,assign exact word,assign exact word,,,,,
"To speed up and get more precision, we can use log addition to instead multiplication, specifically:",,,,,Use log addition to instead multiplication,,,1,,,"get more precision
use log addition",get more precision,,,,,
log(P(t_T+1|t_T)),,,,,,,,,,,,,,,,,
"The probability of a tag for a given word is the linear interpolation of 3 markov models; a zero-order, first-order, and a second order model.",,,,,,,,,,,,,,,,,
"l3*P(t_i| t_i-1, t_i-2)",,,,,,,,,,,,,,,,,
A beam search is used to limit the memory usage of the algorithm. The degree of the beam can be changed using N in the initialization. N represents the maximum number of possible solutions to maintain while tagging.,,,,,Limit the memory usage of the algorithm,,,1,,,"limit memory usage of algorithm
use beam search
use n in initialization
change degree of beam",limit memory usage of algorithm,,,,,
It is possible to differentiate the tags which are assigned to capitalized words. However this does not result in a significant gain in the accuracy of the results.,,,,,Differentiate the tags which are assigned to capitilized words,Differentiate the tags which are assigned to capitilized words,Differentiate the tags which are assigned to capitilized words,1,,,"differentiate tags
assign tags to capitalized words","differentiate tags
assign tags to capitalized words",,,,,
Tags a single sentence,,,,,Tag a single sentence,,Tag a single sentence,,,,,,,,,,
"data ([string,]) – list of words",,,,,,,,,,,,,,,,,
"[(word, tag),]",,,,,,,,,,,,,,,,,
Calls recursive function ‘_tagword’ to produce a list of tags,,,,,Call recursive function,,,,,,produce list of tags,produce list of tags,,,,,
Associates the sequence of returned tags with the correct words in the input sequence,,,,,Associate the sequence of returned tags with the correct words in the input sequence,,,1,,,"return tags with correct words
return tags in input sequence","return tags with correct words
return tags in input sequence",,,,,
"returns a list of (word, tag) tuples",,,,,return a list of tuples,,,,,,return list of tuples,return list of tuples,,,,,
Tags each sentence in a list of sentences,Tag each sentence in list of sentences,,,,Tag each sentence in a list of sentences,,Tag each sentence in a list of sentences,,,,,,,,,,
":param data:list of list of words :type data: [[string,],] :return: list of list of (word, tag) tuples",,,,,,,,,,,,,,,,,
"Invokes tag(sent) function for each sentence compiles the results into a list of tagged sentences each tagged sentence is a list of (word, tag) tuples",,,,,Compile the results into a list of tagged sentences,,,,,,compile results into list,compile results into list,,,,,
"Uses a set of tagged data to train the tagger. If an unknown word tagger is specified, it is trained on the same data.",,,,,Use a set of tagged data to train the tagger,Use a set of tagged data to train the tagger,Use a set of tagged data to train the tagger,1,,,"use set of tagged data
specify unknown word tagger",specify unknown word tagger,,,,,
"data (tuple(str)) – List of lists of (word, tag) tuples",,,,,,,,,,,,,,,,,
Basic method for tokenizing input into sentences for this tagger:,,,,,Tokenize input into sentences for this tagger,,Tokenize input into sentences for this tagger,,,,,,,,,,
"data (str or tuple(str, str)) – list of tokens (words or (word, tag) tuples)",,,,,,,,,,,,,,,,,
raw (bool) – boolean flag marking the input data as a list of words or a list of tagged words,,,,,,,,,,,"mark input data as list
mark input data as list","mark input data as list
mark input data as list",,,,,
list of sentences sentences are a list of tokens tokens are the same as the input,,,,,,,,,,,,,,,,,
Function takes a list of tokens and separates the tokens into lists where each list represents a sentence fragment This function can separate both tagged and raw sequences into basic sentences.,,Seperate tokens into lists,,,"Separate tokens into list
Separate both tagged and raw sequences into basic sentences",Separate both tagged and raw sequences into basic sentences,,1,,,"separate tokens into lists
separate tagged raw sequences into basic sentences","separate tokens into lists
separate tagged raw sequences into basic sentences",,,,,
"Sentence markers are the set of [,.!?]",,,,,,,,,,,,,,,,,
This is a simple method which enhances the performance of the TnT tagger. Better sentence tokenization will further enhance the results.,,,,,Enhance the performance of the TnT tagger,Enhance the performance of the TnT tagger,,1,,,,,,,,,
"Given the string representation of a tagged token, return the corresponding tuple representation. The rightmost occurrence of sep in s will be used to divide s into a word string and a tag string. If sep does not occur in s, return (s, None).",,Return tuple representation,,,Return the corresponding tuple representation,,,1,,,,,,,,,
s (str) – The string representation of a tagged token.,,,,,,,,,,,,,,,,,
sep (str) – The separator string used to separate word strings from tags.,,,,,,,,,,,"use  from tags
use  to separate word strings",,,,,,
"Given the tuple representation of a tagged token, return the corresponding string representation. This representation is formed by concatenating the token’s word string, followed by the separator, followed by the token’s tag. (If the tag is None, then just return the bare word string.)",,"Return string representation
Return bare word string",,,"Return the corresponding string representation
Return the bare word string",,,0,,,,,,,,,
"tagged_token (tuple(str, str)) – The tuple representation of a tagged token.",,,,,,,,,,,,,,,,,
sep (str) – The separator string used to separate word strings from tags.,,Seperate word strings from tags,,,Separate word strings from tags,,,0,,,"use  from tags
use  to separate word strings",,,,,,
"Given a tagged sentence, return an untagged version of that sentence. I.e., return a list containing the first element of each tuple in tagged_sentence.",,Return untagged version of sentence,,,Return an untagged version of that sentence,,,0,,,,,,,,,
NLTK Taggers,,,,,,,,,,,,,,,,,
"This package contains classes and interfaces for part-of-speech tagging, or simply “tagging”.",,,,,,,,,,,,,,,,,
"A “tag” is a case-sensitive string that specifies some property of a token, such as its part of speech. Tagged tokens are encoded as tuples (tag, token). For example, the following tagged token combines the word 'fly' with a noun part of speech tag ('NN'):",,,,,Specify some property of a token,,,1,,,,,,,,,
An off-the-shelf tagger is available for English. It uses the Penn Treebank tagset:,,,,,,,,,,,use Penn treebank tagset,,,,,,
A Russian tagger is also available if you specify lang=”rus”. It uses the Russian National Corpus tagset:,,,,,,,,,,,use Russian national Corpus tagset,,,,,,
"This package defines several taggers, which take a list of tokens, assign a tag to each one, and return the resulting list of tagged tokens. Most of the taggers are built automatically based on a training corpus. For example, the unigram tagger tags each word w by checking what the most frequent tag for w was in a training corpus:",,,,,,,,,,,"define several taggers
assign tag
assign several taggers
return resulting list of tagged tokens
return several taggers of tagged tokens","assign tag
assign several taggers
return resulting list of tagged tokens
return several taggers of tagged tokens",,,,,
Note that words that the tagger has not seen during training receive a tag of None.,,,,,,,,,,,receive tag of none,receive tag of none,,,,,
We evaluate a tagger on data that was not seen during training:,,,,,,,,,,,,,,,,,
"For more information, please consult chapter 5 of the NLTK Book.",,,,,,,,,,,,,,,,,
Use NLTK’s currently recommended part of speech tagger to tag the given list of tokens.,,,,,Use NLTK’s currently recommended part of speech tagger to tag the given list of tokens.,,,1,,,,,,,,,
NB. Use pos_tag_sents() for efficient tagging of more than one sentence.,,,,,Use pos_tag_sents() for efficient tagging of more than one sentence,,,1,,,use pos_tag_sents() for efficient tagging,,,,,,
tokens (list(str)) – Sequence of tokens to be tagged,,,,,,,,,,,,,,,,,
"tagset (str) – the tagset to be used, e.g. universal, wsj, brown",,,,,,,,,,,,,,,,,
"lang (str) – the ISO 639 code of the language, e.g. ‘eng’ for English, ‘rus’ for Russian",,,,,,,,,,,,,,,,,
The tagged tokens,,,,,,,,,,,,,,,,,
"list(tuple(str, str))",,,,,,,,,,,,,,,,,
"Use NLTK’s currently recommended part of speech tagger to tag the given list of sentences, each consisting of a list of tokens.",,,,,,,,,,,,,,,,,
sentences (list(list(str))) – List of sentences to be tagged,,,,,,,,,,,,,,,,,
"tagset (str) – the tagset to be used, e.g. universal, wsj, brown",,,,,,,,,,,,,,,,,
"lang (str) – the ISO 639 code of the language, e.g. ‘eng’ for English, ‘rus’ for Russian",,,,,,,,,,,,,,,,,
The list of tagged sentences,,,,,,,,,,,,,,,,,
"list(list(tuple(str, str)))",,,,,,,,,,,,,,,,,
