Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.Chart,,,,,,,,,,,,
A Chart for feature grammars. :see: Chart for more information.,,,,,,,,,,,,
"Return an iterator of the complete tree structures that span the entire chart, and whose root node is root.",Get iterator for complete tree structure,Return iterator that span chart,,,Return an iterator of the complete tree structures,,,1,,,,
Returns an iterator over the edges in this chart. See Chart.select for more information about the restrictions on the edges.,Get iterator over chart edges,Return iterator over edges,,,Return an iterator over the edges in this chart,,,1,,,return iterator over edges,return iterator over edges
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
Bases: nltk.parse.chart.EmptyPredictRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.FundamentalRule,,,,,,,,,,,,
"A specialized version of the fundamental rule that operates on nonterminals whose symbols are FeatStructNonterminal``s.  Rather tha simply comparing the nonterminals for equality, they are unified.  Variable bindings from these unifications are collected and stored in the chart using a ``FeatureTreeEdge. When a complete edge is generated, these bindings are applied to all nonterminals in the edge.",,,,,Operate on nonterminals,Operate on nonterminals,,1,,,,
The fundamental rule states that:,,,,,,,,,,,,
[A -> alpha \* B1 beta][i:j],,,,,,,,,,,,
[B2 -> gamma \*][j:k],,,,,,,,,,,,
licenses the edge:,,,,,,,,,,,,
[A -> alpha B3 \* beta][i:j],,,,,,,,,,,,
assuming that B1 and B2 can be unified to generate B3.,,,,,,,,,,,generate b3,generate b3
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,,,,,,,,,,,,
"A specialized version of the completer / single edge fundamental rule that operates on nonterminals whose symbols are ``FeatStructNonterminal``s. Rather than simply comparing the nonterminals for equality, they are unified.",,,,,Operate on nonterminals,Operate on nonterminals,,1,,,compare nonterminals for equality,compare nonterminals for equality
Bases: nltk.parse.featurechart.FeatureChartParser,,,,,,,,,,,,
Bases: nltk.parse.chart.TopDownInitRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.CachedTopDownPredictRule,,,,,,,,,,,,
"A specialized version of the (cached) top down predict rule that operates on nonterminals whose symbols are ``FeatStructNonterminal``s. Rather than simply comparing the nonterminals for equality, they are unified.",,,,,Operate on nonterminals,,,1,,,,
The top down expand rule states that:,,,,,,,,,,,expand rule states,expand rule states
[A -> alpha \* B1 beta][i:j],,,,,,,,,,,,
licenses the edge:,,,,,,,,,,,,
[B2 -> \* gamma][j:j],,,,,,,,,,,,
"for each grammar production B2 -> gamma, assuming that B1 and B2 can be unified.",,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.TreeEdge,,,,,,,,,,,,
A specialized tree edge that allows shared variable bindings between nonterminals on the left-hand side and right-hand side.,,,,,Allow shared variable bindings between nonterminals on the left-hand side and right-hand side,Allow shared variable bindings between nonterminals on the left-hand side and right-hand side,,1,,,"share variable bindings between nonterminals
share variable bindings on right-hand side
share variable bindings on left-hand side","share variable bindings between nonterminals
share variable bindings on right-hand side
share variable bindings on left-hand side"
"Each FeatureTreeEdge contains a set of bindings, i.e., a dictionary mapping from variables to values. If the edge is not complete, then these bindings are simply stored. However, if the edge is complete, then the constructor applies these bindings to every nonterminal in the edge whose symbol implements the interface SubstituteBindingsI.",,,,,,,,,,,,
Return a copy of this edge’s bindings dictionary.,Get copy of edge bindings dictionary,Return edge bindings,,,Return a copy of this edge’s bindings dictionary,,,1,,,,
"A new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.",,,,,,,,,,,,
TreeEdge,,,,,,,,,,,,
"A new FeatureTreeEdge formed from this edge. The new edge’s dot position is increased by 1, and its end index will be replaced by new_end.",,,,,,,,,,,replace end index,replace end index
FeatureTreeEdge,,,,,,,,,,,,
new_end (int) – The new end index.,,,,,,,,,,,,
bindings (dict) – Bindings for the new edge.,,,,,,,,,,,,
The set of variables used by this edge.,,,,,,,,,,,use  by edge,
set(Variable),,,,,,,,,,,,
Bases: nltk.parse.featurechart.FeatureChart,,,,,,,,,,,,
"A specialized chart that ‘instantiates’ variables whose names start with ‘@’, by replacing them with unique new variables. In particular, whenever a complete edge is added to the chart, any variables in the edge’s lhs whose names start with ‘@’ will be replaced by unique new ``Variable``s.",,,,,Instantiate varaibles whose names start with '@',Instantiate varaibles whose names start with '@',,1,,,"replace  with unique new variables
add complete edge to chart
replace variables in lhs","replace  with unique new variables
add complete edge to chart
replace variables in lhs"
Clear the chart.,Clear chart,,,,,,,,,,,
"Add a new edge to the chart, and return True if this operation modified the chart. In particular, return true iff the chart did not already contain edge, or if it did not already associate child_pointer_lists with edge.",Add new edge chart and check if chart is modified,"Add new edge to chart
Return True
Modify Chart",,,Add a new edge to the chart,,,1,,,,
edge (EdgeI) – The new edge,,,,,,,,,,,,
child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that were used to form this edge. This list is used to reconstruct the trees (or partial trees) that are associated with edge.,,,,,,,,,,,,
bool,,,,,,,,,,,,
"If the edge is a FeatureTreeEdge, and it is complete, then instantiate all variables whose names start with ‘@’, by replacing them with unique new variables.",,Instantiate variables,,,Instantiate varaibles whose names start with '@',,,1,,,"instantiate variables
replace  with unique new variables","instantiate variables
replace  with unique new variables"
"Note that instantiation is done in-place, since the parsing algorithms might already hold a reference to the edge for future use.",,,,,,,,,,,,
Generates an iterator of all sentences from a CFG.,,Generate iterator,Generate iterator,Generate iterator,Generates an iterator of all sentences from a CFG,Generates an iterator of all sentences from a CFG,,1,,,,
grammar – The Grammar used to generate sentences.,,,,,,,,,,,generate sentences,generate sentences
start – The Nonterminal from which to start generate sentences.,,,,,,,,,,,generate sentences,generate sentences
depth – The maximal depth of the generated tree.,,,,,,,,,,,,
n – The maximum number of sentences to return.,,,,,,,,,,,,
An iterator of lists of terminal tokens.,,,,,,,,,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
A class for dependency parsing with MaltParser. The input is the paths to: - a maltparser directory - (optionally) the path to a pre-trained MaltParser .mco model file - (optionally) the tagger to use for POS tagging before parsing - (optionally) additional Java arguments,,,,,,,,,,,use  for POS,parse  with MaltParser
This function generates the maltparser command use at the terminal.,,Generate maltparser command,,,Generate the maltparser command use at the terminal,,,1,,,generate maltparser command use at terminal,generate maltparser command use at terminal
inputfilename (str) – path to the input file,,,,,,,,,,,,
outputfilename (str) – path to the output file,,,,,,,,,,,,
"Use MaltParser to parse multiple sentences. Takes a list of sentences, where each sentence is a list of words. Each sentence will be automatically tagged with this MaltParser instance’s tagger.",,"Use MaltParser
Parse multiple sentences","Use MaltParser
Parse multiple sentences","Use MaltParser
Parse multiple sentences",Use MaltParser to parse multiple sentences,Use MaltParser to parse multiple sentences,,0,,,use MaltParser,parse multiple sentences
sentences – Input sentences to parse,,,,,Input sentences to parse,,,1,,,,
iter(DependencyGraph),,,,,,,,,,,,
"Use MaltParser to parse multiple POS tagged sentences. Takes multiple sentences where each sentence is a list of (word, tag) tuples. The sentences must have already been tokenized and tagged.",,"Use MaltParser
Parse multiple sentences","Use MaltParser
Parse multiple sentences","Use MaltParser
Parse multiple sentences",Use MaltParser to parse multiple POS tagged sentences,Use MaltParser to parse multiple POS tagged sentences,,0,,,use MaltParser,parse multiple POS tagged sentences
sentences – Input sentences to parse,,,,,,,,1,,,,
iter(iter(DependencyGraph)) the dependency graph,,,,,,,,,,,,
representation of each sentence,,,,,,,,,,,,
Train MaltParser from a list of DependencyGraph objects,Train MaltParser on dependency graph objects,Train MaltParser,Train MaltParser,Train MaltParser,Train MaltParser from a list of DependencyGraph objects,Train MaltParser from a list of DependencyGraph objects,Train MaltParser from a list of DependencyGraph objects,0,,,,
depgraphs (DependencyGraph) – list of DependencyGraph objects for training input data,,,,,,,,,,,,
Train MaltParser from a file :param conll_file: str for the filename of the training input data :type conll_file: str,Train MaltParser from file,Train MaltParser,Train MaltParser,Train MaltParser,Train MaltParser from a file,Train MaltParser from a file,Train MaltParser from a file,0,,,,
A module to find pre-trained MaltParser model.,,Find MaltParser model,,,Find pre-trained MaltParser model,,,0,,,find pre-trained MaltParser model,find pre-trained MaltParser model
A module to find MaltParser .jar file and its dependencies.,,Find MaltParser.jar,,,Find MaltParser .jar file and its dependencies,,,0,,,find MaltParser,find MaltParser
Bases: nltk.parse.nonprojectivedependencyparser.DependencyScorerI,,,,,,,,,,,,
graph (DependencyGraph) – A dependency graph whose set of edges need to be,,,,,,,,,,,,
"scored. :rtype: A three-dimensional list of numbers. :return: The score is returned in a multidimensional(3) list, such that the outer-dimension refers to the head, and the inner-dimension refers to the dependencies. For instance, scores[0][1] would reference the list of scores corresponding to arcs from node 0 to node 1. The node’s ‘address’ field can be used to determine its number identification.",,,,,,,,,,,,
"For further illustration, a score list corresponding to Fig.2 of Keith Hall’s ‘K-best Spanning Tree Parsing’ paper:",,,,,,,,,,,,
"[[], [], [11], [4]], [[], [10], [], [5]], [[], [8], [8], []]]",,,,,,,,,,,,
"When used in conjunction with a MaxEntClassifier, each score would correspond to the confidence of a particular edge being classified with the positive training examples.",,,,,,,,,,,"use  with MaxEntClassifier
use  in conjunction",
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,,,,,,,,,,,,
"Typically the edges present in the graphs can be used as positive training examples, and the edges not present as negative examples.",,,,,,,,,,,use graphs as positive training examples,
Bases: object,,,,,,,,,,,,
"A scorer for calculated the weights on the edges of a weighted dependency graph. This is used by a ProbabilisticNonprojectiveParser to initialize the edge weights of a DependencyGraph. While typically this would be done by training a binary classifier, any class that can return a multidimensional list representation of the edge weights can implement this interface. As such, it has no necessary fields.",,,,,"Initialize the edge weights of a DependencyGraph
Train a binary classifier",,,1,,,,
graph (DependencyGraph) – A dependency graph whose set of edges need to be,,,,,,,,,,,,
"scored. :rtype: A three-dimensional list of numbers. :return: The score is returned in a multidimensional(3) list, such that the outer-dimension refers to the head, and the inner-dimension refers to the dependencies. For instance, scores[0][1] would reference the list of scores corresponding to arcs from node 0 to node 1. The node’s ‘address’ field can be used to determine its number identification.",,,,,,,,,,,,
"For further illustration, a score list corresponding to Fig.2 of Keith Hall’s ‘K-best Spanning Tree Parsing’ paper:",,,,,,,,,,,,
"[[], [], [11], [4]], [[], [10], [], [5]], [[], [8], [8], []]]",,,,,,,,,,,,
"When used in conjunction with a MaxEntClassifier, each score would correspond to the confidence of a particular edge being classified with the positive training examples.",,,,,,,,,,,"use  with MaxEntClassifier
use  in conjunction",
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,,,,,,,,,,,,
"Typically the edges present in the graphs can be used as positive training examples, and the edges not present as negative examples.",,,,,,,,,,,use graphs as positive training examples,
Bases: nltk.parse.nonprojectivedependencyparser.DependencyScorerI,,,,,,,,,,,,
"A dependency scorer built around a MaxEnt classifier. In this particular class that classifier is a NaiveBayesClassifier. It uses head-word, head-tag, child-word, and child-tag features for classification.",,,,,,,,,,,,
"Converts the graph into a feature-based representation of each edge, and then assigns a score to each based on the confidence of the classifier in assigning it to the positive label. Scores are returned in a multidimensional list.",Assign score to each edge of graph,"Convert graph into feature-based representation
Assign score
Assign to positive label
Return scores in multidimensional list",Convert graph into feature-based representation,Convert graph into feature-based representation,"Convert graph into feature-based representation of each edge
Assign a score based on the confidence of the classifier",,,1,,,,
graph (DependencyGraph) – A dependency graph to score.,,,,,,,,,,,,
3 dimensional list,,,,,,,,,,,,
Edge scores for the graph parameter.,,,,,,,,,,,,
"Trains a NaiveBayesClassifier using the edges present in graphs list as positive examples, the edges not present as negative examples. Uses a feature vector of head-word, head-tag, child-word, and child-tag.",Train Naive Bayes Classifier,"Use edges present list as positive examples
Train NaiveBayesClassifier",Train NaiveBayesClassifier,Train NaiveBayesClassifier,Train a NaiveBayesClassifier using the edges present in graphs list as positive examples,Train a NaiveBayesClassifier using the edges present in graphs list as positive examples,,0,,,,
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,,,,,Train the scorer,,Train the scorer,1,,,,
Bases: object,,,,,,,,,,,,
"A non-projective, rule-based, dependency parser. This parser will return the set of all possible non-projective parses based on the word-to-word relations defined in the parser’s dependency grammar, and will allow the branches of the parse tree to cross in order to capture a variety of linguistic phenomena that a projective parser will not.",,Return non-projective parses,,,Return the set of all possible non-projective parses,,,1,,,,
"Parses the input tokens with respect to the parser’s grammar. Parsing is accomplished by representing the search-space of possible parses as a fully-connected directed graph. Arcs that would lead to ungrammatical parses are removed and a lattice is constructed of length n, where n is the number of input tokens, to represent all possible grammatical traversals. All possible paths through the lattice are then enumerated to produce the set of non-projective parses.",,Parse input tokens,Parse input tokens,Parse input tokens,Parse the input tokens with respect to the parser's grammar,Parse the input tokens with respect to the parser's grammar,Parse the input tokens with respect to the parser's grammar,1,,,,
param tokens: A list of tokens to parse. type tokens: list(str) return: An iterator of non-projective parses. rtype: iter(DependencyGraph),,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
A probabilistic non-projective dependency parser.,,,,,,,,,,,,
"Nonprojective dependencies allows for “crossing branches” in the parse tree which is necessary for representing particular linguistic phenomena, or even typical parses in some languages. This parser follows the MST parsing algorithm, outlined in McDonald(2005), which likens the search for the best non-projective parse to finding the maximum spanning tree in a weighted directed graph.",,,,,,,,,,,,
Returns the source of the best incoming arc to the node with address: node_index,,Return best incoming arc,,,Returns the source of the best incoming arc to the node ,,,1,,,return source of best incoming arc,return source of best incoming arc
"node_index (integer.) – The address of the ‘destination’ node,",,,,,,,,,,,,
the node that is arced to.,,,,,,,,,,,,
"Takes a list of nodes that have been identified to belong to a cycle, and collapses them into on larger node. The arcs of all nodes in the graph must be updated to account for this.",Collapses nodes in cycle to one node,Collapse list of nodes,Collapse list of nodes,,Collapse list of nodes into on larger node,,,1,,,,
new_node (Node.) – A Node (Dictionary) to collapse the cycle nodes into.,,,,,,,,,,,,
"cycle_path (A list of integers.) – A list of node addresses, each of which is in the cycle.",,,,,,,,,,,,
"b_graph, c_graph (g_graph,) – Graphs which need to be updated.",,,,,,,,,,,,
When updating scores the score of the highest-weighted incoming arc is subtracted upon collapse. This returns the correct amount to subtract from that edge.,,,,,Return the correct amount to subtract from that edge,,,1,,,,
column_index (integer.) – A index representing the column of incoming arcs,,,,,,,,,,,,
to a particular node being updated :type cycle_indexes: A list of integers. :param cycle_indexes: Only arcs from cycle nodes are considered. This is a list of such nodes addresses.,,,,,,,,,,,,
"As nodes are collapsed into others, they are replaced by the new node in the graph, but it’s still necessary to keep track of what these original nodes were. This takes a list of node addresses and replaces any collapsed node addresses with their original addresses.",,,,,"Collapse nodes
Replace by the new node in the graph
Collapse node address with their original addresses",,,1,,,,
new_indexes (A list of integers.) – A list of node addresses to check for,,,,,,,,,,,,
subsumed nodes.,,,,,,,,,,,,
Assigns a score to every edge in the DependencyGraph graph. These scores are generated via the parser’s scorer which was assigned during the training process.,Assign score to every edge in DependencyGraph,Assign score,Assign score,Assign score,Assign a score to every edge in the DependencyGraph graph,,,1,,,"assign score to edge
generate scores via scorer
assign scorer during training process","assign score to edge
generate scores via scorer
assign scorer during training process"
graph (DependencyGraph) – A dependency graph to assign scores to.,,,,,,,,,,,assign scores,assign scores
Parses a list of tokens in accordance to the MST parsing algorithm for non-projective dependency parses. Assumes that the tokens to be parsed have already been tagged and those tags are provided. Various scoring methods can be used by implementing the DependencyScorerI interface and passing it to the training algorithm.,Parse tokens according to MST parsing algorithm,Parse list of tokens,Parse list of tokens,,Parse a list of tokens in accordance to the MST parsing algorithm for non-projective dependency parses,Parse a list of tokens in accordance to the MST parsing algorithm for non-projective dependency parses,Parse a list of tokens in accordance to the MST parsing algorithm for non-projective dependency parses,0,,,,
tokens (list(str)) – A list of words or punctuation to be parsed.,,,,,,,,,,,,"parse list of words
parse list of punctuation"
tags (list(str)) – A list of tags corresponding by index to the words in the tokens list.,,,,,,,,,,,,
An iterator of non-projective parses.,,,,,,,,,,,,
iter(DependencyGraph),,,,,,,,,,,,
"Trains a DependencyScorerI from a set of DependencyGraph objects, and establishes this as the parser’s scorer. This is used to initialize the scores on a DependencyGraph during the parsing procedure.",,Train DependencyScorerI,Train DependencyScorerI,Train DependencyScorerI,"Trains a DependencyScorerI from a set of DependencyGraph objects
Initialize the scores on a DependencyGraph during the parsing procedure","Trains a DependencyScorerI from a set of DependencyGraph objects
Initialize the scores on a DependencyGraph during the parsing procedure",,0,,,,
graphs (list(DependencyGraph)) – A list of dependency graphs to train the scorer.,,,,,,,,,,,,
dependency_scorer (DependencyScorerI) – A scorer which implements the DependencyScorerI interface.,,,,,,,,,,,"implement DependencyScorerI interface
implement scorer","implement DependencyScorerI interface
implement scorer"
Updates the edge scores to reflect a collapse operation into new_node.,,Update edge scores,,,Update the edge scores to reflect a collapse operation,,,0,,,,
new_node (A Node.) – The node which cycle nodes are collapsed into.,,,,,,,,,,,,
cycle_path (A list of integers.) – A list of node addresses that belong to the cycle.,,,,,,,,,,,,
Classes and interfaces for associating probabilities with tree structures that represent the internal organization of a text. The probabilistic parser module defines BottomUpProbabilisticChartParser.,,,,,Associate probabilities with tree structures,,,1,,,,
"BottomUpProbabilisticChartParser is an abstract class that implements a bottom-up chart parser for PCFG grammars. It maintains a queue of edges, and adds them to the chart one at a time. The ordering of this queue is based on the probabilities associated with the edges, allowing the parser to expand more likely edges before less likely ones. Each subclass implements a different queue ordering, producing different search strategies. Currently the following subclasses are defined:",,Implement bottom-up chart parser,,,Implement a bottom-up chart parser for PCFG grammars,,,0,,,,
InsideChartParser searches edges in decreasing order of their trees’ inside probabilities.,,,,,Search edges in decreasing order of their trees' inside probabilities,,,,,,search edges,
RandomChartParser searches edges in random order.,,,,,Search edges in random order,,,,,,search edges,
LongestChartParser searches edges in decreasing order of their location’s length.,,,,,Search edges in decreasing order of their location's length,,,,,,search edges,
"The BottomUpProbabilisticChartParser constructor has an optional argument beam_size. If non-zero, this controls the size of the beam (aka the edge queue). This option is most useful with InsideChartParser.",,,,,,,,,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
"An abstract bottom-up parser for PCFG grammars that uses a Chart to record partial results. BottomUpProbabilisticChartParser maintains a queue of edges that can be added to the chart. This queue is initialized with edges for each token in the text that is being parsed. BottomUpProbabilisticChartParser inserts these edges into the chart one at a time, starting with the most likely edges, and proceeding to less likely edges. For each edge that is added to the chart, it may become possible to insert additional edges into the chart; these are added to the queue. This process continues until enough complete parses have been generated, or until the queue is empty.",,Insert edges into chart,,,Insert these edges into the chart,,,0,,,,
The sorting order for the queue is not specified by BottomUpProbabilisticChartParser. Different sorting orders will result in different search strategies. The sorting order for the queue is defined by the method sort_queue; subclasses are required to provide a definition for this method.,,Define sorting order,,,Define sorting order,,,,,,,
_grammar – The grammar used to parse sentences.,,,,,,,,,,,,parse sentences
_trace – The level of tracing output that should be generated when parsing a text.,,,,,,,,,,,generate output,"parse text
generate output"
The grammar used by this parser.,,,,,,,,,,,use  by parser,
An iterator that generates parse trees for the sentence.,,,,,,,,,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,Sort list from most likely to least likely,Sort list from most likely to least likely,Sort list from most likely to least likely,Sort list from most likely to least likely,,,,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.",Sort given queue of edge objects,Sort edge objects,Sort edge objects,Sort edge objects,Sort the given queue of Edge objects,,,1,,,,
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,,,,,,,,,,,,
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,,,,,,,,,,,,
None,,,,,,,,,,,,
Set the level of tracing output that should be generated when parsing a text.,Set tracing output when parsing text,Set tracing level,Set tracing level,Set tracing level,Set the level of tracing output that should be generated when parsing a text,,Set the level of tracing output that should be generated when parsing a text,1,,,"set level of tracing
generate output","set level of tracing
parse text
generate output"
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,,,,,,,,,,,,
None,,,,,,,,,,,,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,,,,,,,,,,,,
"A bottom-up parser for PCFG grammars that tries edges in descending order of the inside probabilities of their trees. The “inside probability” of a tree is simply the probability of the entire tree, ignoring its context. In particular, the inside probability of a tree generated by production p with children c[1], c[2], …, c[n] is P(p)P(c[1])P(c[2])…P(c[n]); and the inside probability of a token is 1 if it is present in the text, and 0 if it is absent.",,,,,,,,,,,,
This sorting order results in a type of lowest-cost-first search strategy.,,,,,,,,,,,,
"Sort the given queue of edges, in descending order of the inside probabilities of the edges’ trees.",Sort queue of edges in descending order of probability,Sort edges,Sort edges,Sort edges,Sort the given queue of edges,,,1,,,sort given queue of edges,sort given queue of edges
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,,,,,,,,,,,,
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,,,,,,,,,,,,
None,,,,,,,,,,,,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,,,,,,,,,,,,
A bottom-up parser for PCFG grammars that tries longer edges before shorter ones. This sorting order results in a type of best-first search strategy.,,,,,Try longer edges before shorter ones,,,1,,,,
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.",,Sort Edge objects,Sort Edge objects,Sort Edge objects,Sort the given queue of Edge objects,,,0,,,,
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,,,,,,,,,,,,
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,,Parse text,Parse text,Parse text,"Parse the text
Provide extra information for sorting the queue",Parse the text,,1,,,,
None,,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.LeafEdge,,,,,,,,,,,,
Bases: nltk.parse.chart.TreeEdge,,,,,,,,,,,,
"Return a new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.",Get new TreeEdge from given production,Return TreeEdge,,,Return a new TreeEdge formed from the given production,,,0,,,,
TreeEdge,,,,,,,,,,,,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,,,,,,,,,,,,
A bottom-up parser for PCFG grammars that tries edges in random order. This sorting order results in a random search strategy.,,,,,Try edges in random order,,,1,,,,
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.",Sort given queue of edges,Sort edge objects,Sort edge objects,Sort edge objects,Sort the given queue of Edge objects,,,1,,,,
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,,,,,,,,,,,,
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,,Parse text,Parse text,Parse text,Provide extra information for sorting the queue,Parse the text,,1,,,,
None,,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.pchart.BottomUpProbabilisticChartParser,,,,,,,,,,,,
