Paragraph,Ground Truth link,Program link,Partial ratio
Return a dot representation suitable for using with Graphviz.,">>> dg = dependencygraph(
...     'john n 2\n'
...     'loves v 0\n'
...     'mary n 2'
... )
>>> print(dg.to_dot())
digraph g{
edge [dir=forward]
node [shape=plaintext]

0 [label=""0 (none)""]
0 -> 2 [label=""root""]
1 [label=""1 (john)""]
2 [label=""2 (loves)""]
2 -> 1 [label=""""]
2 -> 3 [label=""""]
3 [label=""3 (mary)""]
}",">>> dg = dependencygraph(
...     'john n 2\n'
...     'loves v 0\n'
...     'mary n 2'
... )
>>> print(dg.to_dot())
digraph g{
edge [dir=forward]
node [shape=plaintext]

0 [label=""0 (none)""]
0 -> 2 [label=""root""]
1 [label=""1 (john)""]
2 [label=""2 (loves)""]
2 -> 1 [label=""""]
2 -> 3 [label=""""]
3 [label=""3 (mary)""]
}",97
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",eval,12
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",">>> from nltk.parse import dependencygraph, dependencyevaluator",100
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",">>> gold_sent = dependencygraph(""""""
... pierre  nnp     2       nmod
... vinken  nnp     8       sub
... ,       ,       2       p
... 61      cd      5       nmod
... years   nns     6       amod
... old     jj      2       nmod
... ,       ,       2       p
... will    md      0       root
"A generic chart parser.  A “strategy”, or list of
ChartRuleI instances, is used to decide what edges to add to
the chart.  In particular, ChartParser uses the following
algorithm to parse texts:",,chart_parse
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,chartrulei
"A rule that specifies what new edges are licensed by any given set
of existing edges.  Each chart rule expects a fixed number of
edges, as indicated by the class variable NUM_EDGES.  In
particular:",,apply_everywhere
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,edgei
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,dot
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,end
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,is_complete
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,is_incomplete
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,length
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,lhs
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,nextsym
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,rhs
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,span
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.",,start
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,emptypredictrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,filteredbottomuppredictcombinerule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,filteredsingleedgefundamentalrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,fundamentalrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,leafedge
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,leafinitrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,leftcornerchartparser
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,singleedgefundamentalrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,steppingchartparser
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,chart
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,current_chartrule
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,set_chart
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,set_grammar
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,set_strategy
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,step
"The initialize method is used to start parsing a text.  step
adds a single edge to the chart.  set_strategy changes the
strategy used by the chart parser.  parses returns the set of
parses that has been found by the chart parser.",,strategy
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,topdownchartparser
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,topdowninitrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,topdownpredictrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,treeedge
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,demo
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,demo_grammar
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,nltk.parse.dependencygraph.
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,dependencygraph
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,dependencygrapherror
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,conll_demo
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,conll_file_demo
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,cycle_finding_demo
"Tools for reading and writing dependency trees.
The input is assumed to be in Malt-TAB format
(http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).",,malt_demo
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,nltk.parse.earleychart.
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,completefundamentalrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,completerrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,earleychartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featurecompletefundamentalrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featurecompleterrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featureearleychartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featureincrementalbottomupchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featureincrementalbottomupleftcornerchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featureincrementalchart
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featureincrementalchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featureincrementaltopdownchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featurepredictorrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,featurescannerrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,filteredcompletefundamentalrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,incrementalbottomupchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,incrementalbottomupleftcornerchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,incrementalchart
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,incrementalchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,incrementalleftcornerchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,incrementaltopdownchartparser
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,predictorrule
"Data classes and parser implementations for incremental chart
parsers, which use dynamic programming to efficiently parse a text.
A “chart parser” derives parse trees for a text by iteratively adding
“edges” to a “chart”.  Each “edge” represents a hypothesis about the tree
structure for a subsequence of the text.  The “chart” is a
“blackboard” for composing and combining these hypotheses.",,scannerrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,nltk.parse.featurechart.
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurebottomupchartparser
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurebottomupleftcornerchartparser
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurebottomuppredictcombinerule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurebottomuppredictrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurechart
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurechartparser
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featureemptypredictrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featurefundamentalrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featuresingleedgefundamentalrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featuretopdownchartparser
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featuretopdowninitrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featuretopdownpredictrule
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,featuretreeedge
"Each FeatureTreeEdge contains a set of bindings, i.e., a
dictionary mapping from variables to values.  If the edge is not
complete, then these bindings are simply stored.  However, if the
edge is complete, then the constructor applies these bindings to
every nonterminal in the edge whose symbol implements the
interface SubstituteBindingsI.",,bindings
"Each FeatureTreeEdge contains a set of bindings, i.e., a
dictionary mapping from variables to values.  If the edge is not
complete, then these bindings are simply stored.  However, if the
edge is complete, then the constructor applies these bindings to
every nonterminal in the edge whose symbol implements the
interface SubstituteBindingsI.",,from_production
"Each FeatureTreeEdge contains a set of bindings, i.e., a
dictionary mapping from variables to values.  If the edge is not
complete, then these bindings are simply stored.  However, if the
edge is complete, then the constructor applies these bindings to
every nonterminal in the edge whose symbol implements the
interface SubstituteBindingsI.",,move_dot_forward
"Each FeatureTreeEdge contains a set of bindings, i.e., a
dictionary mapping from variables to values.  If the edge is not
complete, then these bindings are simply stored.  However, if the
edge is complete, then the constructor applies these bindings to
every nonterminal in the edge whose symbol implements the
interface SubstituteBindingsI.",,next_with_bindings
"Each FeatureTreeEdge contains a set of bindings, i.e., a
dictionary mapping from variables to values.  If the edge is not
complete, then these bindings are simply stored.  However, if the
edge is complete, then the constructor applies these bindings to
every nonterminal in the edge whose symbol implements the
interface SubstituteBindingsI.",,variables
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,instantiatevarschart
"A specialized chart that ‘instantiates’ variables whose names
start with ‘@’, by replacing them with unique new variables.
In particular, whenever a complete edge is added to the chart, any
variables in the edge’s lhs whose names start with ‘@’ will be
replaced by unique new ``Variable``s.",,inst_vars
"A specialized chart that ‘instantiates’ variables whose names
start with ‘@’, by replacing them with unique new variables.
In particular, whenever a complete edge is added to the chart, any
variables in the edge’s lhs whose names start with ‘@’ will be
replaced by unique new ``Variable``s.",,instantiate_edge
"Extension of chart parsing implementation to handle grammars with
feature structures as nodes.",,run_profile
"A scorer for calculated the weights on the edges of a weighted
dependency graph.  This is used by a
ProbabilisticNonprojectiveParser to initialize the edge
weights of a DependencyGraph.  While typically this would be done
by training a binary classifier, any class that can return a
multidimensional list representation of the edge weights can
implement this interface.  As such, it has no necessary
fields.",,score
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,best_incoming_arc
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,collapse_nodes
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,compute_max_subtract_score
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,compute_original_indexes
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,initialize_edge_scores
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,original_best_arc
"Nonprojective dependencies allows for “crossing branches” in the parse tree
which is necessary for representing particular linguistic phenomena, or even
typical parses in some languages.  This parser follows the MST parsing
algorithm, outlined in McDonald(2005), which likens the search for the best
non-projective parse to finding the maximum spanning tree in a weighted
directed graph.",,update_edge_scores
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,nltk.parse.pchart.
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,bottomupprobabilisticchartparser
"The sorting order for the queue is not specified by
BottomUpProbabilisticChartParser.  Different sorting orders will
result in different search strategies.  The sorting order for the
queue is defined by the method sort_queue; subclasses are required
to provide a definition for this method.",,sort_queue
"The sorting order for the queue is not specified by
BottomUpProbabilisticChartParser.  Different sorting orders will
result in different search strategies.  The sorting order for the
queue is defined by the method sort_queue; subclasses are required
to provide a definition for this method.",,trace
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,insidechartparser
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,longestchartparser
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,probabilisticbottomupinitrule
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,probabilisticbottomuppredictrule
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,probabilisticfundamentalrule
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,probabilisticleafedge
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,probabilistictreeedge
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,randomchartparser
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,singleedgeprobabilisticfundamentalrule
"BottomUpProbabilisticChartParser is an abstract class that implements
a bottom-up chart parser for PCFG grammars.  It maintains a queue of edges,
and adds them to the chart one at a time.  The ordering of this queue
is based on the probabilities associated with the edges, allowing the
parser to expand more likely edges before less likely ones.  Each
subclass implements a different queue ordering, producing different
search strategies.  Currently the following subclasses are defined:",,unsortedchartparser
"A cell from the parse chart formed when performing the CYK algorithm.
Each cell keeps track of its x and y coordinates (though this will probably
be discarded), and a list of spans serving as the cell’s entries.",,add
"This parser returns the most probable projective parse derived from the
probabilistic dependency grammar derived from the train() method.  The
probabilistic model is an implementation of Eisner’s (1996) Model C, which
conditions on head-word, head-tag, child-word, and child-tag.  The decoding
uses a bottom-up chart-based span concatenation algorithm that’s identical
to the one utilized by the rule-based projective parser.",,compute_prob
"This parser returns the most probable projective parse derived from the
probabilistic dependency grammar derived from the train() method.  The
probabilistic model is an implementation of Eisner’s (1996) Model C, which
conditions on head-word, head-tag, child-word, and child-tag.  The decoding
uses a bottom-up chart-based span concatenation algorithm that’s identical
to the one utilized by the rule-based projective parser.",,concatenate
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,backtrack
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,currently_complete
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,expand
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,expandable_productions
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,frontier
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,match
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,remaining_text
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,tree
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,untried_expandable_productions
"The initialize method is used to start parsing a text.
expand expands the first element on the frontier using a single
CFG production, and match matches the first element on the
frontier against the next text token. backtrack undoes the most
recent expand or match operation.  step performs a single
expand, match, or backtrack operation.  parses returns the set
of parses that have been found by the parser.",,untried_match
"The initialize method is used to start parsing a text.
shift performs a single shift operation, and reduce performs
a single reduce operation.  step will perform a single reduce
operation if possible; otherwise, it will perform a single shift
operation.  parses returns the set of parses that have been
found by the parser.",,reduce
"The initialize method is used to start parsing a text.
shift performs a single shift operation, and reduce performs
a single reduce operation.  step will perform a single reduce
operation if possible; otherwise, it will perform a single shift
operation.  parses returns the set of parses that have been
found by the parser.",,reducible_productions
"The initialize method is used to start parsing a text.
shift performs a single shift operation, and reduce performs
a single reduce operation.  step will perform a single reduce
operation if possible; otherwise, it will perform a single shift
operation.  parses returns the set of parses that have been
found by the parser.",,shift
